congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
112,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-50.85915,0.83,273,21,,,
112,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-99.08009,0.78298,405,49,,0.525,0.043
112,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.428,0.514,-107.62732,0.76764,407,50,,0.468,0.423
112,Senate,40300,81,0,AK,200,0,1,"MURKOWSKI, Lisa",M001153,1957,,0.21,-0.289,-155.63136,0.673,393,69,,0.183,-0.386
112,Senate,40900,81,0,AK,100,0,1,"BEGICH, Mark",B001265,1962,,-0.235,0.15,-88.4901,0.803,403,38,,-0.267,0.268
112,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-95.54607,0.78123,387,42,,0.444,-0.659
112,Senate,15429,61,0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.413,-103.81434,0.77437,406,45,,0.445,-0.512
112,Senate,20101,42,0,AR,200,0,1,"BOOZMAN, John",B001236,1950,,0.4,0.247,-83.4403,0.81256,402,36,,0.408,0.233
112,Senate,40301,42,0,AR,100,0,1,"PRYOR, Mark",P000590,1963,,-0.199,0.463,-87.54621,0.806,405,40,,-0.16,0.481
112,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-55.04957,0.864,378,19,,-0.471,-0.502
112,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.2,-50.22491,0.88255,402,21,,-0.322,-0.126
112,Senate,29906,62,0,CO,100,0,1,"UDALL, Mark",U000038,1950,,-0.353,0.049,-73.65591,0.833,403,35,,-0.244,-0.172
112,Senate,40910,62,0,CO,100,0,1,"BENNET, Michael F.",B001267,1964,,-0.22,-0.155,-55.75255,0.8711,404,23,,-0.225,-0.199
112,Senate,15704,1,0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-95.42711,0.786,396,44,,-0.153,-0.366
112,Senate,41101,1,0,CT,100,0,1,"BLUMENTHAL, Richard",B001277,1946,,-0.43,-0.073,-44.07586,0.89492,397,17,,-0.372,-0.127
112,Senate,15015,11,0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.176,-0.23,-81.15548,0.82002,409,29,,-0.232,-0.382
112,Senate,40916,11,0,DE,100,0,1,"COONS, Christopher A.",C001088,1963,,-0.225,-0.222,-47.58789,0.89016,409,17,,-0.31,-0.443
112,Senate,14651,43,0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-60.93819,0.86158,409,26,,-0.201,0.063
112,Senate,41102,43,0,FL,200,0,1,"RUBIO, Marco",R000595,1971,,0.573,-0.273,-100.86544,0.77004,386,42,,0.549,-0.215
112,Senate,29512,44,0,GA,200,0,1,"CHAMBLISS, Saxby",C000286,1943,,0.423,0.205,-91.02064,0.795,397,34,,0.449,0.09
112,Senate,29909,44,0,GA,200,0,1,"ISAKSON, Johnny",I000055,1944,,0.402,-0.011,-92.63976,0.79463,403,37,,0.415,0.145
112,Senate,4812,82,0,HI,100,1,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-40.21371,0.895,363,16,,-0.326,0.066
112,Senate,14400,82,0,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,,-0.419,0.273,-38.4816,0.909,402,17,,-0.45,-0.008
112,Senate,41112,82,0,HI,100,2,5,"SCHATZ, Brian Emanuel",S001194,1972,,-0.444,-0.074,-1.36222,0.93416,20,0,,-0.637,0.385
112,Senate,29345,63,0,ID,200,0,1,"CRAPO, Michael Dean",C000880,1951,,0.51,0.292,-98.06228,0.78401,403,47,,0.591,0.361
